,id_dest,id_source,doc_type,dest_title,source_title,dest_path,source_arxiv_url,match_type,matched_info,matched_text
15,26958,1803.04497,oecd,AI AND PRIVACY REPORT,Automated software vulnerability detection with machine learning,26958.txt,http://arxiv.org/abs/1803.04497,by_title,automatedsoftwarevulnerabilitydetectionwithmachinelearning,theresultthisisatypicalmantrafrequentlyheardinconnectionwithmachinelearninginmostinstancesthecomputerwillrequirealotmoredatat
16,26958,1804.01660,oecd,AI AND PRIVACY REPORT,"The structure of evolved representations across different substrates for
  artificial intelligence",26958.txt,http://arxiv.org/abs/1804.01660,by_title,thestructureofevolvedrepresentationsacrossdifferentsubstratesforartificialintelligence,datheofficeoftheauditorgeneralofnorwayandthecentreforartificialintelligenceresearchattheuniversityofagderlegalsourcesanduseof
17,26958,1912.10005,oecd,AI AND PRIVACY REPORT,"Does AlphaGo actually play Go? Concerning the State Space of Artificial
  Intelligence",26958.txt,http://arxiv.org/abs/1912.10005,by_title,doesalphagoactuallyplaygoconcerningthestatespaceofartificialintelligence,gdprthatareespeciallyrelevanttothedevelopmentanduseofartificialintelligencefundamentalprinciplesofdataprotectiontherulesgover
18,24278,2008.05381,oecd,PROTECTING THE UNITED STATES ADVANTAGE IN ARTIFICIAL INTELLIGENCE AND RELATED CRITICAL TECHNOLOGIES,"Improving the Performance of Fine-Grain Image Classifiers via Generative
  Data Augmentation",24278.txt,http://arxiv.org/abs/2008.05381,by_title,improvingtheperformanceoffinegrainimageclassifiersviagenerativedataaugmentation,22qualityassuranceassociatedwithperformancechangesimprovingtheperformanceofassistancesystemsutilizingaitechnologyrequiresappr
19,24426,1608.01406,oecd,NATIONAL NEW GENERATION ARTIFICIAL INTELLIGENCE GOVERNANCE EXPERT COMMITTEE,Quantum Algorithms for Compositional Natural Language Processing,24426.txt,http://arxiv.org/abs/1608.01406,by_title,quantumalgorithmsforcompositionalnaturallanguageprocessing,lingtechnology7intelligencecomputingchipandsystem8naturallanguageprocessingtechnologynextgenerationartificialintelligencedeve
20,24426,2002.12620,oecd,NATIONAL NEW GENERATION ARTIFICIAL INTELLIGENCE GOVERNANCE EXPERT COMMITTEE,"TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural
  Language Processing",24426.txt,http://arxiv.org/abs/2002.12620,by_title,textbreweranopensourceknowledgedistillationtoolkitfornaturallanguageprocessing,lingtechnology7intelligencecomputingchipandsystem8naturallanguageprocessingtechnologynextgenerationartificialintelligencedeve
21,24426,2004.13922,oecd,NATIONAL NEW GENERATION ARTIFICIAL INTELLIGENCE GOVERNANCE EXPERT COMMITTEE,Revisiting Pre-Trained Models for Chinese Natural Language Processing,24426.txt,http://arxiv.org/abs/2004.13922,by_title,revisitingpretrainedmodelsforchinesenaturallanguageprocessing,lingtechnology7intelligencecomputingchipandsystem8naturallanguageprocessingtechnologynextgenerationartificialintelligencedeve
22,26500,9512004,oecd,CONCEPT FOR THE DEVELOPMENT OF AI IN BULGARIA UNTIL 2030,"Natural language processing: she needs something old and something new
  (maybe something borrowed and something blue, too)",26500.txt,http://arxiv.org/abs/cmp-lg/9512004,by_title,naturallanguageprocessingsheneedssomethingoldandsomethingnewmaybesomethingborrowedandsomethingbluetoo,ralnetworkscomputervisionimageprocessingdataminingnaturallanguageprocessingroboticsknowledge9figure735page492of3httpseceuropa
23,26500,9709012,oecd,CONCEPT FOR THE DEVELOPMENT OF AI IN BULGARIA UNTIL 2030,"Using Single Layer Networks for Discrete, Sequential Data: An Example
  from Natural Language Processing",26500.txt,http://arxiv.org/abs/cmp-lg/9709012,by_title,usingsinglelayernetworksfordiscretesequentialdataanexamplefromnaturallanguageprocessing,ralnetworkscomputervisionimageprocessingdataminingnaturallanguageprocessingroboticsknowledge9figure735page492of3httpseceuropa
24,26833,1612.07625,oecd,HUMAN RIGHTS AND TECHNOLOGY DISCUSSION PAPER,Hardware for Machine Learning: Challenges and Opportunities,26833.txt,http://arxiv.org/abs/1612.07625,by_title,hardwareformachinelearningchallengesandopportunities,onsidershowaustraliashouldrespondtothehumanrightschallengesandopportunitiesposedbytheriseofnewandemergingtechnologiestheproje
25,26996,2008.05381,oecd,Guidance for evaluation of artificial intelligence of assisted medical imaging systems for clinical diagnosis,"Improving the Performance of Fine-Grain Image Classifiers via Generative
  Data Augmentation",26996.txt,http://arxiv.org/abs/2008.05381,by_title,improvingtheperformanceoffinegrainimageclassifiersviagenerativedataaugmentation,22qualityassuranceassociatedwithperformancechangesimprovingtheperformanceofassistancesystemsutilizingaitechnologyrequiresappr
26,26883,1612.07003,oecd,"AI, DATA AND ROBOTICS PARTNERSHIP IN HORIZON EUROPE",Image biomarker standardisation initiative,26883.txt,http://arxiv.org/abs/1612.07003,by_title,imagebiomarkerstandardisationinitiative,ssesthatcanaccelerateuptakesupportandcollaborateinstandardisationinitiativesandtheharmonisationofregulationacrosseuropetocrea
27,26883,1910.12243,oecd,"AI, DATA AND ROBOTICS PARTNERSHIP IN HORIZON EUROPE","Solving Optimization Problems through Fully Convolutional Networks: an
  Application to the Travelling Salesman Problem",26883.txt,http://arxiv.org/abs/1910.12243,by_title,solvingoptimizationproblemsthroughfullyconvolutionalnetworksanapplicationtothetravellingsalesmanproblem,oblemsarespecialisationsofresearchareasinailikethetravellingsalesmanproblemquadraticassignmentproblemvehicleroutingaswellasth
28,26883,2008.07343,oecd,"AI, DATA AND ROBOTICS PARTNERSHIP IN HORIZON EUROPE","Artificial Intelligence in the Battle against Coronavirus (COVID-19): A
  Survey and Future Research Directions",26883.txt,http://arxiv.org/abs/2008.07343,by_title,artificialintelligenceinthebattleagainstcoronaviruscovid19asurveyandfutureresearchdirections,gainstcovid19anearlyreview92a8360edabanguyentt2020artificialintelligenceinthebattleagainstcoronaviruscovid19asurveyandfuturer
29,26883,2103.08809,oecd,"AI, DATA AND ROBOTICS PARTNERSHIP IN HORIZON EUROPE","Robustly Optimized and Distilled Training for Natural Language
  Understanding",26883.txt,http://arxiv.org/abs/2103.08809,by_title,robustlyoptimizedanddistilledtrainingfornaturallanguageunderstanding,hedevelopmentofgenericinteractionmodelsimprovednaturallanguageunderstandinginteractionanddialoguecoveringalleuropeanlanguages
30,26883,9512004,oecd,"AI, DATA AND ROBOTICS PARTNERSHIP IN HORIZON EUROPE","Natural language processing: she needs something old and something new
  (maybe something borrowed and something blue, too)",26883.txt,http://arxiv.org/abs/cmp-lg/9512004,by_title,naturallanguageprocessingsheneedssomethingoldandsomethingnewmaybesomethingborrowedandsomethingbluetoo,eadoptionoftechnologieslikeadvancedmachinelearningnaturallanguageprocessingchatbotssemanticreasoningcomputervisionandthepatie
31,26883,9709012,oecd,"AI, DATA AND ROBOTICS PARTNERSHIP IN HORIZON EUROPE","Using Single Layer Networks for Discrete, Sequential Data: An Example
  from Natural Language Processing",26883.txt,http://arxiv.org/abs/cmp-lg/9709012,by_title,usingsinglelayernetworksfordiscretesequentialdataanexamplefromnaturallanguageprocessing,eadoptionoftechnologieslikeadvancedmachinelearningnaturallanguageprocessingchatbotssemanticreasoningcomputervisionandthepatie
32,24994,2102.10012,oecd,MALTA'S NATIONAL AI STRATEGY,Analytics and Machine Learning in Vehicle Routing Research,24994.txt,http://arxiv.org/abs/2102.10012,by_title,analyticsandmachinelearninginvehicleroutingresearch,waterandenergyusagethesolutionwilldeploylargescaleanalyticsandmachinelearningoncustomerdatatohelptheutilitycompaniestomaximis
33,24233,1510.03346,oecd,ARTIFICIAL INTELLIGENCE MISSION AUSTRIA 2030,The social dilemma of autonomous vehicles,24233.txt,http://arxiv.org/abs/1510.03346,by_title,thesocialdilemmaofautonomousvehicles,gcorporationaustraliabonnefonjfshariffarahwani2016thesocialdilemmaofautonomousvehiclesscience35262931573ackermane2016peoplewa
34,24233,1707.07232,oecd,ARTIFICIAL INTELLIGENCE MISSION AUSTRIA 2030,Society-in-the-Loop: Programming the Algorithmic Social Contract,24233.txt,http://arxiv.org/abs/1707.07232,by_title,societyintheloopprogrammingthealgorithmicsocialcontract,linformationprocessingsystemsconferencerahwani2018societyintheloopprogrammingthealgorithmicsocialcontractethicsandinformation
35,24233,2005.11072,oecd,ARTIFICIAL INTELLIGENCE MISSION AUSTRIA 2030,Regulating Artificial Intelligence: Proposal for a Global Solution,24233.txt,http://arxiv.org/abs/2005.11072,by_title,regulatingartificialintelligenceproposalforaglobalsolution,ustraliangovernmentaustraliaerdelyiogoldsmithj2018regulatingartificialintelligenceaproposalforaglobalsolutionconferenceonarti
36,24233,2010.15665,oecd,ARTIFICIAL INTELLIGENCE MISSION AUSTRIA 2030,Machine Ethics and Automated Vehicles,24233.txt,http://arxiv.org/abs/2010.15665,by_title,machineethicsandautomatedvehicles,nethicsunlesstheyreapassengerieeespectrumgoodallnjmachineethicsandautomatedvehiclesinroadvehicleautomationspringer2014gerdesj
37,26950,1610.07997,oecd,SPANISH DATA PROTECTION AGENCY,"Artificial Intelligence Safety and Cybersecurity: a Timeline of AI
  Failures",26950.txt,http://arxiv.org/abs/1610.07997,by_title,artificialintelligencesafetyandcybersecurityatimelineofaifailures,sicoorgukabouttheicowhatwedotechandinnovationblogsartificialintelligencesafetyandcybersecurityatimelineofaifailuresromanvyamp
38,26950,1710.04778,oecd,SPANISH DATA PROTECTION AGENCY,"Retinal Fluid Segmentation and Detection in Optical Coherence Tomography
  Images using Fully Convolutional Neural Network",26950.txt,http://arxiv.org/abs/1710.04778,by_title,retinalfluidsegmentationanddetectioninopticalcoherencetomographyimagesusingfullyconvolutionalneuralnetwork,bletobackdoorsmanipulationalsobackdoorembeddinginconvolutionalneuralnetworkmodelsviainvisibleperturbationhttpsarxivorgpdf1808
39,26950,1712.02779,oecd,SPANISH DATA PROTECTION AGENCY,Exploring the Landscape of Spatial Robustness,26950.txt,http://arxiv.org/abs/1712.02779,by_arxiv_id,1712.02779,"umpy-could-allow-
attackers-to-perform-remote-code-execution-33117832 
115 For the purpose of increasing the false positive rate and the false negative rate. 
116 Attack technique consisting in feeding the AI with example data, which may be indistinguishable from normal data from the point of 
view of  human perception but may include small disturbances that force the AI to make erroneous inferences.  
117 Exploring the Landscape of Spatial Robustness, Logan Engstrom∗ MIT  https://arxiv.org/pdf/1712.02779.pdf 
118 Oriented towards applications such as face-recognition or intrusion detection and often related to techniques of “adversarial machine 
learning”. 
Página: 39 de 49 
 
 
 
•  Reidentification  of  the  personal  data  included  within  the  model  (belonging 
inference or 119inversion of the model120) by internal and external 121users. 
•  Fraud or deceive to the AI by data subjects, especially in such cases where in may 
entail a damage for other data subjects122, which implies the nec"
40,26950,1712.02779,oecd,SPANISH DATA PROTECTION AGENCY,Exploring the Landscape of Spatial Robustness,26950.txt,http://arxiv.org/abs/1712.02779,by_arxiv_id,1712.02779,"ntelligence  from  the  ICO  bloghttps://ico.org.uk/about-the-
ico/what-we-do/tech-and-innovation/blogs/ 
Artificial  Intelligence  Safety  and  Cybersecurity:  a  Timeline  of  AI  Failures  Roman  V. 
Yampolskiy, University of Louisville 2018 
Why we cannot trust artificial intelligence in medicine, Matthew DeCamp, Jon C Tilburt, The 
Lancet, correspondence, volume 1, issue 8, December 01, 2019 
Exploring 
the 
landscape 
of 
spatial 
robustness, 
Logan  Engstrom,  MIT  
https://arxiv.org/pdf/1712.02779.pdf 
Towards 
federated 
learning  at  scale:  system  design  Keith,  Bonawitz  et  al. 
https://arxiv.org/pdf/1902.01046.pdf 
What’s your ML Test Score? A rubric for ML production systems, Eric Breck, 2018, Google 
Inc. https://www.eecs.tufts.edu/~dsculley/papers/ml_test_score.pdf 
A Survey on Security Threats and Defensive Techniques of Machine, Qiang Liu et al., IEEE 
Access, ISSN: 2169-3536, February 2018 
Opinion 05/2014 on anonymisation techniques, Article 29 Working Party, 2014 
Opinion"
41,26950,1712.02779,oecd,SPANISH DATA PROTECTION AGENCY,Exploring the Landscape of Spatial Robustness,26950.txt,http://arxiv.org/abs/1712.02779,by_title,exploringthelandscapeofspatialrobustness,urbancesthatforcetheaitomakeerroneousinferences117exploringthelandscapeofspatialrobustnessloganengstrommithttpsarxivorgpdf171
42,26950,1803.05848,oecd,SPANISH DATA PROTECTION AGENCY,"Towards Clinical Diagnosis: Automated Stroke Lesion Segmentation on
  Multimodal MR Image Using Convolutional Neural Network",26950.txt,http://arxiv.org/abs/1803.05848,by_title,towardsclinicaldiagnosisautomatedstrokelesionsegmentationonmultimodalmrimageusingconvolutionalneuralnetwork,bletobackdoorsmanipulationalsobackdoorembeddinginconvolutionalneuralnetworkmodelsviainvisibleperturbationhttpsarxivorgpdf1808
43,26950,1808.10307,oecd,SPANISH DATA PROTECTION AGENCY,"Backdoor Embedding in Convolutional Neural Network Models via Invisible
  Perturbation",26950.txt,http://arxiv.org/abs/1808.10307,by_arxiv_id,1808.10307,"nsive Techniques of Machine, Qiang Liu et al., IEEE Access, ISSN:2169-3536, February 2018 
112 Trojans in IA, IARPA https://www.iarpa.gov/index.php?option=com_content&view=article&id=1150&Itemid=448 
113 Example of the manipulation of an image recognition algorithm https://www.bleepingcomputer.com/news/security/ai-training-algorithms-
susceptible-to-backdoors-manipulation/  also  Backdoor  Embedding  in  Convolutional  Neural  Network  Models  via  Invisible  Perturbation 
https://arxiv.org/pdf/1808.10307.pdf  
114  Vulnerability  in  a  library  for  the  development  of  ML  models:  https://cyware.com/news/critical-vulnerability-in-numpy-could-allow-
attackers-to-perform-remote-code-execution-33117832 
115 For the purpose of increasing the false positive rate and the false negative rate. 
116 Attack technique consisting in feeding the AI with example data, which may be indistinguishable from normal data from the point of 
view of  human perception but may include small disturbances that force"
44,26950,1809.04440,oecd,SPANISH DATA PROTECTION AGENCY,"Convolutional Neural Networks for Fast Approximation of Graph Edit
  Distance",26950.txt,http://arxiv.org/abs/1809.04440,by_title,convolutionalneuralnetworksforfastapproximationofgrapheditdistance,ibletobackdoorsmanipulationalsobackdoorembeddinginconvolutionalneuralnetworkmodelsviainvisibleperturbationhttpsarxivorgpdf180
45,26950,1810.07339,oecd,SPANISH DATA PROTECTION AGENCY,Security Matters: A Survey on Adversarial Machine Learning,26950.txt,http://arxiv.org/abs/1810.07339,by_title,securitymattersasurveyonadversarialmachinelearning,yattacksoravailabilityoftheinferences115attacksbyadversarialmachinelearning116sothatananalysisontherobustness117andcontroloft
46,26950,1902.01046,oecd,SPANISH DATA PROTECTION AGENCY,Towards Federated Learning at Scale: System Design,26950.txt,http://arxiv.org/abs/1902.01046,by_arxiv_id,1902.01046,"I  model. For example, in neuronal  networks, 
hyperparameters shall be the number of layers, the number of neurones per layer, the learning rate, etc. 
102  Federated  Learning  or  FL  is  a  distributed  ML  model  that  allows  model  training  in  final  devices  (process  over  the  edge).  It  is  an 
approximation to “bring the processing to the data instead of the data to the processing” and it permits to manage data privacy, data 
property and data localisation.  https://arxiv.org/pdf/1902.01046.pdf 
103 Releasing the SVM Classifier with Privacy-Preservation https://ieeexplore.ieee.org/document/4781198 
104 This principle is related to the “need-to-know” principle that is used in security, but, in this case, it is understood from a point of view of 
privacy. For example, if the data set of the processing has a phase that submits a communication to the data subject, it shall be necessary 
to process the contact details during such phase, but it shall not be necessary to process all the "
47,26950,1902.01046,oecd,SPANISH DATA PROTECTION AGENCY,Towards Federated Learning at Scale: System Design,26950.txt,http://arxiv.org/abs/1902.01046,by_arxiv_id,1902.01046,"ligence  Safety  and  Cybersecurity:  a  Timeline  of  AI  Failures  Roman  V. 
Yampolskiy, University of Louisville 2018 
Why we cannot trust artificial intelligence in medicine, Matthew DeCamp, Jon C Tilburt, The 
Lancet, correspondence, volume 1, issue 8, December 01, 2019 
Exploring 
the 
landscape 
of 
spatial 
robustness, 
Logan  Engstrom,  MIT  
https://arxiv.org/pdf/1712.02779.pdf 
Towards 
federated 
learning  at  scale:  system  design  Keith,  Bonawitz  et  al. 
https://arxiv.org/pdf/1902.01046.pdf 
What’s your ML Test Score? A rubric for ML production systems, Eric Breck, 2018, Google 
Inc. https://www.eecs.tufts.edu/~dsculley/papers/ml_test_score.pdf 
A Survey on Security Threats and Defensive Techniques of Machine, Qiang Liu et al., IEEE 
Access, ISSN: 2169-3536, February 2018 
Opinion 05/2014 on anonymisation techniques, Article 29 Working Party, 2014 
Opinion 06/2014 on the notion of legitimate interests of the data controller under Article 7of 
Directive 95/46/EC, Article 29 Wor"
48,26950,1902.01046,oecd,SPANISH DATA PROTECTION AGENCY,Towards Federated Learning at Scale: System Design,26950.txt,http://arxiv.org/abs/1902.01046,by_title,towardsfederatedlearningatscalesystemdesign,stnessloganengstrommithttpsarxivorgpdf171202779pdftowardsfederatedlearningatscalesystemdesignkeithbonawitzetalhttpsarxivorgpd
49,26950,1902.07669,oecd,SPANISH DATA PROTECTION AGENCY,"ScispaCy: Fast and Robust Models for Biomedical Natural Language
  Processing",26950.txt,http://arxiv.org/abs/1902.07669,by_title,scispacyfastandrobustmodelsforbiomedicalnaturallanguageprocessing,thcareindustrialmonitoringroboticswebsearchenginesnaturallanguageprocessingmarketingpersonalassistancehumanresourcesoptimizat
50,26950,2002.05829,oecd,SPANISH DATA PROTECTION AGENCY,"HULK: An Energy Efficiency Benchmark Platform for Responsible Natural
  Language Processing",26950.txt,http://arxiv.org/abs/2002.05829,by_title,hulkanenergyefficiencybenchmarkplatformforresponsiblenaturallanguageprocessing,thcareindustrialmonitoringroboticswebsearchenginesnaturallanguageprocessingmarketingpersonalassistancehumanresourcesoptimizat
51,26950,2002.12620,oecd,SPANISH DATA PROTECTION AGENCY,"TextBrewer: An Open-Source Knowledge Distillation Toolkit for Natural
  Language Processing",26950.txt,http://arxiv.org/abs/2002.12620,by_title,textbreweranopensourceknowledgedistillationtoolkitfornaturallanguageprocessing,thcareindustrialmonitoringroboticswebsearchenginesnaturallanguageprocessingmarketingpersonalassistancehumanresourcesoptimizat
52,26950,2004.13922,oecd,SPANISH DATA PROTECTION AGENCY,Revisiting Pre-Trained Models for Chinese Natural Language Processing,26950.txt,http://arxiv.org/abs/2004.13922,by_title,revisitingpretrainedmodelsforchinesenaturallanguageprocessing,thcareindustrialmonitoringroboticswebsearchenginesnaturallanguageprocessingmarketingpersonalassistancehumanresourcesoptimizat
53,26950,2007.15779,oecd,SPANISH DATA PROTECTION AGENCY,"Domain-Specific Language Model Pretraining for Biomedical Natural
  Language Processing",26950.txt,http://arxiv.org/abs/2007.15779,by_title,domainspecificlanguagemodelpretrainingforbiomedicalnaturallanguageprocessing,thcareindustrialmonitoringroboticswebsearchenginesnaturallanguageprocessingmarketingpersonalassistancehumanresourcesoptimizat
54,26950,2008.10022,oecd,SPANISH DATA PROTECTION AGENCY,"COVID-19 Pandemic: Identifying Key Issues using Social Media and Natural
  Language Processing",26950.txt,http://arxiv.org/abs/2008.10022,by_title,covid19pandemicidentifyingkeyissuesusingsocialmediaandnaturallanguageprocessing,thcareindustrialmonitoringroboticswebsearchenginesnaturallanguageprocessingmarketingpersonalassistancehumanresourcesoptimizat
55,26950,2010.07621,oecd,SPANISH DATA PROTECTION AGENCY,HS-ResNet: Hierarchical-Split Block on Convolutional Neural Network,26950.txt,http://arxiv.org/abs/2010.07621,by_title,hsresnethierarchicalsplitblockonconvolutionalneuralnetwork,bletobackdoorsmanipulationalsobackdoorembeddinginconvolutionalneuralnetworkmodelsviainvisibleperturbationhttpsarxivorgpdf1808
56,26950,2103.02800,oecd,SPANISH DATA PROTECTION AGENCY,"Hardware Acceleration of Fully Quantized BERT for Efficient Natural
  Language Processing",26950.txt,http://arxiv.org/abs/2103.02800,by_title,hardwareaccelerationoffullyquantizedbertforefficientnaturallanguageprocessing,thcareindustrialmonitoringroboticswebsearchenginesnaturallanguageprocessingmarketingpersonalassistancehumanresourcesoptimizat
57,26934,1708.05148,oecd,SAUDI ARABIA'S NATIONAL DATA AND AI STRATEGY,"Natural Language Processing: State of The Art, Current Trends and
  Challenges",26934.txt,http://arxiv.org/abs/1708.05148,by_title,naturallanguageprocessingstateoftheartcurrenttrendsandchallenges,veuseofdigitalapplicationsbythegeneralpublicsuchasnaturallanguageprocessinghasgeneratedasignificantamountofdataessentialtoaid
58,26934,1807.02383,oecd,SAUDI ARABIA'S NATIONAL DATA AND AI STRATEGY,Natural Language Processing for Information Extraction,26934.txt,http://arxiv.org/abs/1807.02383,by_title,naturallanguageprocessingforinformationextraction,veuseofdigitalapplicationsbythegeneralpublicsuchasnaturallanguageprocessinghasgeneratedasignificantamountofdataessentialtoaid
59,26934,2004.13945,oecd,SAUDI ARABIA'S NATIONAL DATA AND AI STRATEGY,"Basic Linguistic Resources and Baselines for Bhojpuri, Magahi and
  Maithili for Natural Language Processing",26934.txt,http://arxiv.org/abs/2004.13945,by_title,basiclinguisticresourcesandbaselinesforbhojpurimagahiandmaithilifornaturallanguageprocessing,veuseofdigitalapplicationsbythegeneralpublicsuchasnaturallanguageprocessinghasgeneratedasignificantamountofdataessentialtoaid
