,name,description,country,documentUrl,startDate,endDate,oecdId
15,ADVANCED COMPUTING PORTUGAL 2030,"ACP.2030 is a science, innovation and growth strategy to foster Advanced Computing in Portugal in the European context, oriented towards building a high-performance computing world-reference network infrastructure.",Portugal,https://www.incode2030.gov.pt/computacao-avancada,2019,2030,25617
16,ADVANCED INTEGRATED INTELLIGENCE PLATFORM PROJECT,Gather top researchers and promote R&D for innovative fundamental technology and also promote implementation.,Japan,https://www.riken.jp/en/,2016,,15413
17,ADVISORY COUNCIL ON THE ETHICAL USE OF AI AND DATA,The Advisory Council on the Ethical Use of AI and Data was set up to advise Singapore Government on issues arising from commercial deployment of AI that may require policy or regulatory intervention.,Singapore,https://www.imda.gov.sg/news-and-events/Media-Room/Media-Releases/2018/composition-of-the-advisory-council-on-the-ethical-use-of-ai-and-data,2018,,24364
18,AFRICAN WORKING GROUP ON AI,The AI Working group (AIWG) is a pioneering platform which aims to develop a unified AI strategy for Africa,Egypt,https://au.int/sites/default/files/decisions/37590-2019_sharm_el_sheikh_declaration_-_stc-cict-3_oct_2019_ver2410-10pm-1rev-2.pdf,2019,,26474
19,AI 4 BELGIUM,Experts have written AI guidelines for Belgian policy makers.,Belgium - Federal government,https://www.ai4belgium.be/wp-content/uploads/2019/04/report_en.pdf,2019,,24234
21,AI AGENDA FOR SWEDEN,"The AI agenda is a collaborative, stakeholder-driven, approach to suggest and formulate a national roadmap to accelerate the AI uptake in Sweden.",Sweden,https://www.ri.se/en/ai-agenda,2019,,26675
22,AI and Privacy Report,The Norwegian Data Protection Authority published a report on the regulation of privacy and AI.,Norway,https://www.datatilsynet.no/globalassets/global/english/ai-and-privacy.pdf,2019,,26958
23,AI APPRENTICESHIP PROGRAMME,"The AIAP is a full time 9-month programme where we train and groom local Singaporean AI talent. This is in line with the nation’s focus in deepening national capabilities in AI, not only in terms of technology, but also skillsets and talents. The AIAP is a deep skilling programme and successful applicants to the AIAP are expected to have prior knowledge in AI and Machine Learning. During the duration of the programme the apprentice is paid a stipend of between SGD$3500 - $5500 per month. There is no programme fee as this is a fully subsidized programme by the Singapore government.",Singapore,https://www.aisingapore.org/industryinnovation/aiap/,2017,,24371
24,AI BAROMETER,"The AI Barometer is an analysis of the most pressing opportunities, risks, and governance challenges associated with AI and data use, initially across five key UK sectors (including Criminal Justice, Financial Services, Health & Social Care, Digital & Social Media and Energy & Utilities).",United Kingdom,https://www.gov.uk/government/publications/cdei-ai-barometer,2019,2020,26708
25,AI BUSINESS PROGRAM,"In 2018, with public funding amounting to EUR 34 million and a total of 115 projects, the AI Business program, focusing on AI and the platform economy, was Business Finland’s biggest programme. The programme, was launched in early 2018. It has been reserved an authorisation to allocate EUR 100 million over a four-year period, as well as an authorisation to grant EUR 60 million of capital loan for the first two years to be allocated through competitive biddings on Growth Engines. Growth Engine funding has been granted to five platform companies.",Finland,https://www.businessfinland.fi/en/for-finnish-customers/services/programs/ai-business/,2018,2022,24444
26,AI CERTIFICATION,The AI Certification is a National Certification and Assessment Framework to recognize and award credentials to working professionals in AI-related engineering roles.,Singapore,https://www.aisingapore.org/ai-certification/,2020,,26575
27,AI CERTIFICATION PROGRAMME,A set of guidance notes aimed at assisting Service Providers and AI-ITA Applicants when approaching the Malta Digital Innovation Authority (MDIA) for registration and certification respectively.,Malta,https://mdia.gov.mt/consultation/,2019,,25481
28,AI COALITION OF THE NETHERLANDS,"More than 65 parties from the business community, government, education and research institutions and social organizations have joined the Dutch AI Coalition that launched on 8 October 2019. The Dutch AI Coalition (NL AIC) is a public-private partnership that functions as the catalyst for AI in The Netherlands. From leading multinationals IBM, Philips, Seedlink, Rabobank, KLM, Delft University and Amsterdam University, numerous SMEs to the police and knowledge institutions such as TNO and CLAIRE. All parties will work together in an ongoing multidisciplinary effort to ensure that the Netherlands becomes a major player in the field of artificial intelligence (AI) and related transformative technologies.",Netherlands,https://nlaic.com/wp-content/uploads/2019/10/811.19340_Actieplan_Digitaal_02.pdf,2019,,25533
29,AI COMPETENCE FOR SWEDEN,AI Competence for Sweden is an initiative where seven universities collaborate with the goal to elevate the competence about artificial intelligence in academia and in industry.,Sweden,https://ai-competence.se/en/,2018,,26630
30,AI Covid-19 Response,The United States is leveraging AI technologies - including increased access to data and computing resources - to respond to the COVID-19 pandemic.,United States,https://www.whitehouse.gov/briefings-statements/call-action-tech-community-new-machine-readable-covid-19-dataset/,2020,,26745
31,AI COVID-19 Response,"Estonia implemented an AI powered chatbot SUVE, which helped people to acquire Information regarding the state of play.",Estonia,https://eebot.ee,2020,,26827
35,AI COVID-19 RESPONSE,India has launched a WhatsApp chatbot to disseminate trustworthy information on COVID-19.,India,https://www.mygov.in/covid-19/,2020,,26858
39,AI FOR EVERYONE,AI4E is a 3-hour workshop to introduce anyone to modern AI technologies and applications so that they can be savvy consumers of AI products and services.,Singapore,https://www.aisingapore.org/industryinnovation/ai4e/,2018,2021,24367
40,AI FOR INDUSTRY,AI4I is a training programme to equip participants with basic AI and data competency skills.,Singapore,https://www.aisingapore.org/industryinnovation/ai4i/,2018,,24368
42,AI FORUM,"Launched in 2017, the AI Forum of New Zealand is a purpose driven, membership funded association for those who have a shared passion for the opportunities AI can provide.",New Zealand,https://aiforum.org.nz/about/,2017,,15691
43,AI GRAND CHALLENGES,AI Grand Challenge looks at important issues and problems faced by Singapore and the world that can be effectively addressed with AI technologies and innovation.,Singapore,https://www.aisingapore.org/grand-challenges/health/,2017,,24569
44,AI IN PRACTICE WEBSITE,A self-service website that connects AI technology where developers can showcase local case-studies to foster collaboration and awareness.,Hungary,www.miagyakorlatban.hu,2019,,25010
46,AI IN THE PUBLIC SECTOR,This initiative presents the most significant projects of use and deployment of Artificial Intelligence systems in Colombia's public sector. It describes projects that present a high degree of progress and impact.,Colombia,https://dapre.presidencia.gov.co/dapre/SiteAssets/documentos/07-10-2020%20Proyectos%20de%20TD%2C%20Tramites%20y%20servicios%20para%20el%20ciudadano_Baja.pdf,2018,,26727
47,AI LAB,"This lab is in effect a production line of AI use cases for the city. These use cases cross all aspects of city services, from police and security, to land development, education and environmental services. The AI lab is a vital innovation test bed and important in building competency within government around this fast-paced technology.",United Arab Emirates,https://www.smartdubai.ae/initiatives/ai-lab,2017,,26444
49,AI OBSERVATORY AND FORUM,The aim of the Observatory is to monitor developments of the regulatory and ethical framework regarding AI and to formulate recommendations and best practice examples for the Government of the Czech Republic.,Czech Republic,http://observatory.ilaw.cas.cz/,2020,,26735
51,AI Open Innovation Hub,"This initiative is designed to provide AI technology development infrastructure, equipment, software, and data for SMEs.",Korea,https://www.aihub.or.kr,2017,,17015
52,AI PHD SCHOLARSHIPS,"A dedicated, AUD1.4 million PhD scholarship program to support emerging Australian researchers in artificial intelligence and machine learning.",Australia,https://www.industry.gov.au/data-and-publications/australias-tech-future/government-initiatives,2019,2022,24378
53,AI Principles and Ethics for the Emirate of Dubai,"Dubai’s AI Principles and Guidelines aim to help AI developers, government and society develop AI in a safe, responsible and ethical way.",United Arab Emirates,https://www.smartdubai.ae/initiatives/ai-principles-ethics,2019,,26783
54,AI Principles: Recommendations on the Ethical Use of Artificial Intelligence by the Department of Defense,"The leadership of the Department of Defense (DoD) tasked the Defense Innovation Board (DIB) with proposing Artificial Intelligence (AI) Ethics Principles for DoD for the design, development, and deployment of AI for both combat and non-combat purposes.",United States,https://media.defense.gov/2019/Oct/31/2002204458/-1/-1/0/DIB_AI_PRINCIPLES_PRIMARY_DOCUMENT.PDF,2019,,26945
56,AI R&D GUIDELINES,This Guideline is prepared as a basis for international discussions at G7 and OECD regarding matters expected to be considered in R&D activities for promoting the benefits and reducing the risks of AI.,Japan,http://www.soumu.go.jp/main_content/000507517.pdf,2017,,24345
57,AI R&D STRATEGY,"This initiative aims at conducting comprehensive analysis of the current state of AI technology, human resources, and infrastructure and developing and promoting AI R&D strategies in consideration of the nations competitiveness in AI technology.",Korea,www.msit.go.kr,2018,2022,25016
58,AI Reports by the National Commission on Informatics and Liberty,"The CNIL, Commission Nationale Informatique & Libertés, is the French Data Protection Agency.",France,https://www.cnil.fr/en/how-can-humans-keep-upper-hand-report-ethical-matters-raised-algorithms-and-artificial-intelligence,2017,,26774
59,AI RESEARCH PROGRAMME,"AI Research Programme seeds high quality research efforts aimed at developing fundamental AI novel techniques, algorithms and adjacent technologies that will eventually significantly contribute to the other pillars of AI Singapore. The AI Singapore Research Programme will also encourage national research collaborations and nurture local AI talents.",Singapore,https://www.aisingapore.org/research/,2018,,24983
61,AI SINGAPORE,"AI Singapore (AISG) is a national AI programme launched by the National Research Foundation (NRF) to anchor deep national capabilities in Artificial Intelligence (AI), thereby creating social and economic impacts, grow the local talent, build an AI ecosystem and put Singapore on the world map.",Singapore,aisingapore.org,2017,,24366
62,AI SOURCE LIST,"The Government of Canada has created an AI Source List with 73 pre-approved suppliers “to provide Canada with responsible and effective AI services, solutions and products”. The framework allows government agencies to expedite procurement from firms that have demonstrated that they are capable of providing quality AI goods and services.",Canada,https://buyandsell.gc.ca/procurement-data/tender-notice/PW-EE-017-34526,2019,,24197
63,AI STANDARDISATION COMMITTEE,A committee under the Department of Telecommunications has been formed for the standardisation of Artificial Intelligence technology.,India,https://www.tec.gov.in/pdf/Whatsnew/ARTIFICIAL%20INTELLIGENCE%20-%20INDIAN%20STACK.pdf,2018,,26854
64,AI START-UP HUB,"Creation of the artificial intelligence market: Colombia will become a laboratory for the creation of an AI market in which designers, suppliers, intermediaries and consumers of this technology interact. This market will become the dynamic centre of the nascent 4IR ecosystem in the country.",Colombia,https://innpulsacolombia.com/cemprende/,2019,,26724
65,AI STRATEGY,"In this strategy, the measures that Japan should immediately take concerted action are focused on taking the next step forward in overcoming issues faced by Japan, and making use of Japan’s strengths to open up opportunities for the future.",Japan,https://www.kantei.go.jp/jp/singi/tougou-innovation/index.html,2019,,25312
67,AI SWEDEN,"AI Sweden, is a national centre for AI-related research, innovation and education, which aims to enhance Sweden’s research in and adoption of AI. In addition to the national centre at Lindholmen Science Park in Gothenburg, there are several nodes around Sweden. AI Sweden is a private initiative, supported by Swedish government agencies.",Sweden,https://www.ai.se/en,2019,,24195
68,AI TECHNOLOGY ROADMAP,"Published by the Australian Government in November 2019, and co-developed by CSIRO’s Data61 and the Department of Industry, Innovation and Science, the roadmap identifies strategies to help develop a national AI capability to boost the productivity of Australian industry, create jobs and economic growth, and improve the quality of life for current and future generations.",Australia,https://data61.csiro.au/en/Our-Research/Our-Work/AI-Roadmap,2018,2019,24476
69,AI UK SECTOR DEAL,The government and the Artificial Intelligence (AI) sector have agreed a a £1 billion package of support from government and industry to boost the UK’s global position as a leader in developing AI technologies. It will take actions to advance the Industrial Strategy’s AI and Data Grand Challenge and ensure the UK is the leading destination for AI innovation and investment. This deal will anchor the UK as the go-to destination for AI innovation and investment. The Industrial Strategy is built on 5 foundations.,United Kingdom,https://www.gov.uk/government/publications/artificial-intelligence-sector-deal/ai-sector-deal,2018,2027,24150
72,AI UTILISATION GUIDELINES,"The Guidelines are intended to encourage the voluntary consideration of AI users, especially those who provide AI services to others (AI service providers) and those who use AI systems (business users).",Japan,https://www.soumu.go.jp/main_content/000658284.pdf,2019,,24346
73,AI WATCH,"AI Watch monitors industrial, technological and research capacity, policy initiatives in the Member States, uptake and technical developments of Artificial Intelligence and its impact in the economy, society and public services.<br/>It provides a number of analyses necessary to monitor and facilitate the implementation of the European Strategy for AI.",European Union,https://ec.europa.eu/knowledge4policy/ai-watch_en,2019,,26596
74,"AI, Data and Robotics Partnership in Horizon Europe","This Partnership is the European focal point for AI, Data and Robotics.",European Union,https://ai-data-robotics-partnership.eu/wp-content/uploads/2020/09/AI-Data-Robotics-Partnership-SRIDA-V3.0.pdf,2020,,26883
75,AI4EU CONSORTIUM,"In January 2019, the AI4EU consortium was established to build the first European Artificial Intelligence On-Demand Platform and Ecosystem with the support of the European Commission under the H2020 programme.",European Union,https://www.ai4eu.eu/,2019,2021,26417
76,AL-KHAWARIZMI PROGRAMME,"The Ministry of National Education, Vocational Training, Higher Education and Scientific Research (MENFPESRS) launched a thematic research program, in collaboration with the Ministry of Industry, Investment, Trade and the Digital Economy (MIICEN), the Digital Development Agency (ADD) and the National Center for Scientific and Technical Research (CNRST) on Artificial Intelligence, to pursue three main objectives:",Morocco,http://www.mcinet.gov.ma/sites/default/files/programme%20al%20khawarizmi.pdf,,,24325
78,ALGORITHM ASSESSMENT REPORT,A cross-government review of how government uses algorithms to improve the lives of New Zealanders.,New Zealand,https://www.data.govt.nz/assets/Uploads/Algorithm-Assessment-Report-Oct-2018.pdf,2018,2018,25729
79,Algorithm Charter for Aotearoa New Zealand,The Algorithm Charter commits government agencies to improve transparency and accountability in their use of algorithms over the next five years.,New Zealand,https://www.data.govt.nz/assets/Uploads/Draft-Algorithm-Charter-for-consultation.pdf,2019,,25730
81,AMERICAN AI R&D BUDGET,US government agencies requested $973.5 million in nondefense AI research spending for the fiscal year ending in September 2020.,United States,https://www.whitehouse.gov/wp-content/uploads/2019/09/FY2020-NITRD-AI-RD-Budget-September-2019.pdf?mod=article_inline,2019,2020,24536
82,AMERICAN WORKFORCE POLICY ADVISORY BOARD,"Pursuant to Executive Order 13845, ""Establishing the President’s National Council for the American Worker,"" the American Workforce Policy Advisory Board will provide advice and recommendations to the interagency National Council for the American Worker on ways to encourage the private sector and educational institutions to combat the skills crisis by investing in and increasing demand-driven education, training, and re-training, including training through apprenticeships and work-based learning opportunities.",United States,https://www.commerce.gov/americanworker/american-workforce-policy-advisory-board,2019,,24446
83,Amsterdam's AI register (in partnership with the city of Helsinki),Amsterdam and Helsinki have launched open AI registers that track how algorithms are being used in the municipalities.,Netherlands,https://algoritmeregister.amsterdam.nl/en/ai-register/,2020,,26889
84,AN AI ACTION PLAN FOR ALL AUSTRALIANS: A CALL FOR VIEWS,"The Australian Department of Industry, Science, Energy and Resources is now consulting on the development of a whole-of-government AI Action Plan.",Australia,https://consult.industry.gov.au/digital-economy/ai-action-plan/supporting_documents/AIDiscussionPaper.pdf,2020,,26948
85,APPLIED INNOVATION CENTER,Egypt launched an Applied Innovation Center for creating applications in different emerging technologies including Artificial intelligence.,Egypt,https://alborsaanews.com/2019/10/27/1259212,2020,,26472
86,Applied Research Centres in AI,Brazil has announced its aims to establish eight applied research centres hosted by established academic and research institutions.,Brazil,http://antigo.mctic.gov.br/mctic/opencms/tecnologia/inteligencia_artificial/Centros_Pesquisas_Aplicadas/CentrosPesquisasAplicadas_IA.html,2020,,26771
88,ARAB ARTIFICIAL INTELLIGENCE (AI) WORKING GROUP,The Arab AI Working Group aims to develop a common Arab strategy.,Egypt,http://www.mcit.gov.eg/Ar/Media_Center/Press_Room/Press_Releases/40525,2019,,26473
89,ARTIFICIAL INTELLIGENCE 4.0.,"“Artificial Intelligence 4.0” is a horizontal program accelerating the Fourth Industrial Revolution in several important business sectors such as manufacturing and process industries, business services and trade.",Finland,https://tem.fi/en/artificial-intelligence-programme,2020,,26932
90,ARTIFICIAL INTELLIGENCE ADVISORY COUNCIL,"It is an advisory body for analysis, advice and support to the Government in the field of Artificial Intelligence.",Spain,https://www.mineco.gob.es/portal/site/mineco/menuitem.ac30f9268750bd56a0b0240e026041a0/?vgnextoid=51884ba89bc63710VgnVCM1000001d04140aRCRD,2020,,26592
91,ARTIFICIAL INTELLIGENCE AND TECHNOLOGY OFFICE,"The vision behind the Artificial Intelligence and Technology Office is to transform the US Department of Energy into a world-leading AI enterprise by accelerating the research, development, delivery, and adoption of AI.",United States,https://www.energy.gov/science-innovation/artificial-intelligence-and-technology-office,2019,,24945
93,ARTIFICIAL INTELLIGENCE DEVELOPMENT POLICY IN POLAND,The objective of Poland’s strategy is to encourage the growth and innovation of the knowledge-based economy by supporting AI science and research developments and to prepare citizens for the digital transformation by improving their competences. Along the process of achieving these objectives it is important to account for the protection of human dignity and to ensure conditions for fair competition.,Poland,https://www.gov.pl/attachment/a8ea194c-d0ce-404e-a9ca-e007e9fbc93e,2019,2027,26494
95,ARTIFICIAL INTELLIGENCE MISSION AUSTRIA 2030,"Under the working title Artificial Intelligence Mission Austria 2030 (AIM AT 2030), a federal AI strategy is to be developed which will set the framework conditions for a wealth-promoting and responsible use of AI in all areas of life.",Austria,https://www.bmvit.gv.at/service/publikationen/innovation/ikt/downloads/aimat_ua.pdf,2019,,24233
99,ARTIFICIAL INTELLIGENCE NATIONAL STRATEGY,"Colombia has been developing a series of strategies for the national digital transformation, particularly on the development of AI.",Colombia,https://colaboracion.dnp.gov.co/CDT/Conpes/Econ%C3%B3micos/3975.pdf,2019,,26728
100,ARTIFICIAL INTELLIGENCE PROGRAMME,"The artificial intelligence programme, which published its interim report with eight proposals in October 2017 and final report in 2019, steered Finland into the track of becoming a leading country in the application of artificial intelligence.",Finland,www.aiera.fi,2017,2019,14162
102,ARTIFICIAL INTELLIGENCE RESEARCH AND DEVELOPMENT SUPPORT FUND,The Fund was created to attract the worlds leading manufacturers of artificial intelligence solutions to the Republic of Kazakhstan.,Kazakhstan,https://nu.edu.kz/ru/zakupki/kf-fond-podderzhki-issledovanij-razrabotok-v-sfere-iskusstvennogo-intellekta,2019,,25390
103,ARTIFICIAL INTELLIGENCE STRATEGY,"In the Artificial Intelligence (AI) Strategy, the Federal Government sets out a framework for a holistic policy on the future development and application of AI in Germany.",Germany,www.ki-strategie-deutschland.de,2018,,24114
104,ARTIFICIAL INTELLIGENCE STRATEGY FOR THE DIGITAL GOVERNMENT,"This Artificial Intelligence Strategy for the Digital Government presents the first actions to be carried out, through an open construction process, and shares what has been elaborated with different stakeholders to obtain their vision and contributions, both nationally and internationally.",Uruguay,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/sites/agencia-gobierno-electronico-sociedad-informacion-conocimiento/files/documentos/publicaciones/IA%20Strategy%20-%20english%20version.pdf,2019,,26477
105,ARTIFICIAL INTELLIGENCE TASK FORCE FOR INDIA'S ECONOMIC TRANSFORMATION,The Ministry of Commerce and Industry has set up the AI Task force Task force on Artificial Intelligence to kick-start the use of AI for India's economic transformation.,India,https://www.aitf.org.in,2017,,24667
106,ARTIFICIAL INTELLIGENCE: A STRATEGIC VISION FOR LUXEMBOURG,"This strategic vision for AI in Luxembourg articulates the activities, ambitions and intentions related to the role of AI, both in Luxembourg and across the EU and is a government-approved strategic document.",Luxembourg,https://digital-luxembourg.public.lu/news/national-ai-vision-prioritizes-people,2019,,24335
107,ARTIFICIAL INTELLIGENCE: AT THE SERVICE OF CITIZENS,Italy released a (strategic) report on AI in March 2018. This report exclusively focuses on how the government can facilitate the adoption of AI technologies in the public administration.,Italy,https://ia.italia.it/assets/whitepaper.pdf,2018,,24218
108,ATHENA MAGAZINE,"Publication of a free monthly magazine “Athena” aimed at popularising science and making it accessible to everyone, along with raising the public’s and especially young people’s awareness, of the challenges, prospects and professions in the fields of research and new technologies.",Belgium - Wallonia,http://recherche-technologie.wallonie.be/fr/particulier/menu/revue-athena/par-numero/index.html,1984,,5133
109,AURORA AI,Aurora AI is a network of different smart services and applications to “allow [the] public administration to better anticipate and provide resources for future service needs” and to allow citizens to access high-quality 24/7 digital services.,Finland,https://vm.fi/en/auroraai-en,2019,2023,24206
110,AUS4INNOVATION (AUSTRALIA AND VIETMAN),"Aus4Innovation is an AUD 11 million development assistance program that aims to strengthen Vietnam’s innovation system, prepare for and embrace opportunities associated with Industry 4.0, and help shape Vietnam’s innovation agenda in science and technology.",Australia,https://research.csiro.au/aus4innovation/,2018,2022,26842
111,Aus4Innovation (Vietnam and Australia),"Aus4Innovation is an AUD 11 million development assistance program that aims to strengthen Vietnam’s innovation system, prepare for and embrace opportunities associated with Industry 4.0, and help shape Vietnam’s innovation agenda in science and technology.",Viet Nam,https://research.csiro.au/aus4innovation/,2018,2022,26843
112,AUSTRALIA'S AI ETHICS FRAMEWORK,"Australia is developing an AI ethics framework. The initial discussion report identified key principles and measures that can be used to achieve the best possible results from AI, while keeping the well-being of Australians as the top priority. It was used as a starting point for public consultation.",Australia,https://consult.industry.gov.au/strategic-policy/artificial-intelligence-ethics-framework/supporting_documents/ArtificialIntelligenceethicsframeworkdiscussionpaper.pdf,2018,,24350
113,Australia's National Enforcement Guidelines for Automated Vehicles,These guidelines clarify concepts of control and proper control for different levels of automation.,Australia,https://www.ntc.gov.au/sites/default/files/assets/files/AV_enforcement_guidelines.pdf,2017,,26832
115,AUSTRALIAN CODE FOR THE RESPONSIBLE CONDUCT OF RESEARCH,The 2018 Code For The Responsible Conduct Of Research is a principles-based document that articulates the broad principles and responsibilities that underpin the conduct of Australian research.,Australia,https://www.nhmrc.gov.au/about-us/publications/australian-code-responsible-conduct-research-2018,2018,,24509
116,Australian Identity-Matching Services Bill,"The Identity-matching Services Bill 2019 (IMS Bill) authorises the Department of Home Affairs (DOHA) to create and maintain facilities for the sharing of facial images and other identity information between government agencies, and in some cases, private organisations.",Australia,https://www.aph.gov.au/Parliamentary_Business/Bills_Legislation/bd/bd1920a/20bd021,2019,,26841
117,AUSTRIAN COUNCIL FOR ROBOTICS AND ARTIFICIAL INTELLIGENCE,"ACRAI, the Austrian Council for Robotics and Artificial Intelligence was established by the Minister of the Federal Ministry for Transport, Innovation and Technology. Its main tasks assist to provide an Austrian Strategy for Robotics and Artificial Intelligence, and general advice for Research and Technology concerning aspects like Ethics, Economy, Technology and Law.",Austria,https://www.acrai.at/,2017,,14907
119,AUTOMATED AND CONNECTED DRIVING,"The goal is to develop, research, test and produce key technologies of Mobility 4.0 in Germany.",Germany,https://www.bmvi.de/EN/Topics/Digital-Matters/Automated-Connected-Driving/automated-and-connected-driving.html,2015,,24357
120,Automated and Electric Vehicles Bill,,United Kingdom,https://www.legislation.gov.uk/ukpga/2018/18/contents/enacted,2018,,26820
121,Automated Driving Regulation,"This regulation allows for testing of automated vehicles and associated technologies on public roads, but only for a specific set of use cases (lane-changing assistants, self-driving minibuses, and self-driving military vehicles).",Austria,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2016_II_402/BGBLA_2016_II_402.pdfsig,2019,,26815
122,AUTOMATED VEHICLES 3.0: PREPARING FOR THE FUTURE OF TRANSPORTATION,"Preparing for the Future of Transportation: Automated Vehicles 3.0 (AV 3.0) is another milestone in the Department of Transportations development of a flexible, responsible approach to a framework for multimodal automation. It introduces guiding principles and describes the Department’s strategy to address existing barriers to safety innovation and progress.",United States,https://www.transportation.gov/sites/dot.gov/files/docs/policy-initiatives/automated-vehicles/320711/preparing-future-transportation-automated-vehicle-30.pdf,2017,,24941
123,Autonomous vehicles - Code of Practice for testing in Belgium,"Belgian Federal Public Service Mobility and Transport published a ""code"" for companies that want to test driverless cars in the country.",Belgium - Federal government,https://mobilit.belgium.be/sites/default/files/resources/files/code_of_practice_en_2016_09.pdf,2016,,26804
124,BANGKOK STATEMENT ON THE ETHICS OF SCIENC AND TECHNOLOGY AND SUSTAINABLE DEVELOPMENT,"The Statement was developed by participants of the Conference on the Ethics of Science and Technology and Sustainable Development held on 6 July 2019 in Bangkok, Thailand. It seeks to encourage regional economic communities, governments, academic institutions and professional associations, the private sector, civil society and international organizations, especially UNESCO to adhere to ethics of science and technology and sustainable development.",Thailand,http://www.stethicsconference2019.net/bkk-statements,2019,,26131
126,BIG DATA ANALYSIS,"Government assignment to map the use of AI and big data analysis, with the aim to produce a wide statistical material of AI use cases and analysis of big data in enterprises, public administration (government agencies, municipalities, regions) and universities in Sweden.",Sweden,https://www.regeringen.se/4adadd/contentassets/d6db8d21a2e14a20ae8fff715a996217/uppdrag-att-kartlagga-anvandningen-av-artificiell-intelligens-respektive-analys-av-stora-datamangder-i-sverige.pdf,2019,2020,26680
